Name,Rating,Genre,Release Date,Runtime,Url
Laura y el misterio del asesino inesperado,72,"TV Movie,Mystery,Thriller,Comedy",01/13/2022,1h 30m,https://www.themoviedb.org/movie/922885
Jungle Cruise,76,"Action,Adventure,Comedy,Fantasy",09/24/2021,2h 7m,https://www.themoviedb.org/movie/451048
Infinite,68,"Science Fiction,Action,Thriller",09/09/2021,1h 46m,https://www.themoviedb.org/movie/581726
Erax,54,"Mystery,Family",02/17/2022,14m,https://www.themoviedb.org/movie/929472
The Amazing Spider-Man,67,"Action,Adventure,Fantasy",06/29/2012,2h 16m,https://www.themoviedb.org/movie/1930
AI Love You,54,"Comedy,Romance,Science Fiction",02/15/2022,1h 35m,https://www.themoviedb.org/movie/928769
House of Gucci,68,"Drama,Crime,Thriller",11/24/2021,2h 38m,https://www.themoviedb.org/movie/644495
The Whole Truth,64,Horror,12/02/2021,2h 5m,https://www.themoviedb.org/movie/895001
Paranormal Activity: Next of Kin,65,"Horror,Mystery,Thriller",10/29/2021,1h 38m,https://www.themoviedb.org/movie/609972
Home Team,69,"Family,Comedy",01/28/2022,1h 35m,https://www.themoviedb.org/movie/817648
Avatar,75,"Action,Adventure,Fantasy,Science Fiction",08/27/2010,2h 42m,https://www.themoviedb.org/movie/19995
The Exorcism of God,55,Horror,02/10/2022,1h 38m,https://www.themoviedb.org/movie/836225
Miraculous World: Shanghai – The Legend of Ladydragon,79,"Animation,Comedy,Family,Adventure",05/15/2021,52m,https://www.themoviedb.org/movie/726684
Moonfall,59,"Action,Adventure,Science Fiction",02/04/2022,2h 10m,https://www.themoviedb.org/movie/406759
The Wonderful Winter of Mickey Mouse,55,"Animation,Comedy",02/18/2022,24m,https://www.themoviedb.org/movie/939336
Batman,72,"Fantasy,Action",03/13/1990,2h 6m,https://www.themoviedb.org/movie/268
The Bad Guys,100,"Animation,Comedy,Action,Family,Crime",04/22/2022,1h 40m,https://www.themoviedb.org/movie/629542
The Last Duel,76,"Action,Drama,History",10/22/2021,2h 33m,https://www.themoviedb.org/movie/617653
Dog,78,"Drama,Comedy",02/18/2022,1h 41m,https://www.themoviedb.org/movie/626735
Survive the Game,58,"Action,Thriller,Crime",10/08/2021,1h 37m,https://www.themoviedb.org/movie/787310
Forgive Us Our Trespasses,63,"Drama,War",02/17/2022,14m,https://www.themoviedb.org/movie/929436
Heart Shot,54,"Romance,Crime",02/17/2022,19m,https://www.themoviedb.org/movie/929477
Army of Thieves,69,"Crime,Comedy",10/29/2021,2h 7m,https://www.themoviedb.org/movie/796499
Sonic the Hedgehog,74,"Action,Science Fiction,Comedy,Family",02/14/2020,1h 39m,https://www.themoviedb.org/movie/454626
Godzilla vs. Kong,78,"Action,Fantasy,Science Fiction",03/24/2021,1h 53m,https://www.themoviedb.org/movie/399566
"Miraculous World: New York, United HeroeZ",83,"Animation,Family,Comedy,Adventure,TV Movie",11/21/2020,55m,https://www.themoviedb.org/movie/755812
Space Jam: A New Legacy,71,"Family,Animation,Comedy,Science Fiction",07/16/2021,1h 55m,https://www.themoviedb.org/movie/379686
Raya and the Last Dragon,80,"Family,Fantasy,Animation,Action,Adventure",03/05/2021,1h 47m,https://www.themoviedb.org/movie/527774
Back to the Outback,77,"Animation,Family,Adventure,Comedy",12/03/2021,1h 32m,https://www.themoviedb.org/movie/770254
Meander,61,"Horror,Science Fiction,Drama,Thriller",05/26/2021,1h 31m,https://www.themoviedb.org/movie/523936
Mobile Suit Gundam Hathaway,78,"Animation,Action,Drama,Science Fiction",06/11/2021,1h 36m,https://www.themoviedb.org/movie/685274
The Conjuring: The Devil Made Me Do It,77,"Horror,Mystery,Thriller",06/04/2021,1h 51m,https://www.themoviedb.org/movie/423108
The Fallout,75,Drama,01/17/2022,1h 36m,https://www.themoviedb.org/movie/795514
The Royal Treatment,68,"Romance,Comedy",01/20/2022,1h 36m,https://www.themoviedb.org/movie/790142
The Tomorrow War,80,"Action,Science Fiction,Adventure",07/02/2021,2h 18m,https://www.themoviedb.org/movie/588228
Zeros and Ones,53,"Thriller,War",11/19/2021,1h 25m,https://www.themoviedb.org/movie/762433
The Croods: A New Age,76,"Animation,Family,Adventure,Fantasy,Comedy",11/25/2020,1h 35m,https://www.themoviedb.org/movie/529203
Wrath of Man,77,"Action,Crime,Thriller",05/07/2021,1h 59m,https://www.themoviedb.org/movie/637649
Tarumama,51,"Horror,Drama",07/29/2021,1h 30m,https://www.themoviedb.org/movie/775943
Encounter,65,"Adventure,Drama",12/03/2021,1h 48m,https://www.themoviedb.org/movie/728526
Fortress,63,"Crime,Action,Thriller",12/17/2021,1h 40m,https://www.themoviedb.org/movie/826749
Apex,54,"Action,Thriller,Science Fiction",11/25/2021,1h 48m,https://www.themoviedb.org/movie/763164
Snake Eyes: G.I. Joe Origins,68,"Action,Adventure",07/23/2021,2h 1m,https://www.themoviedb.org/movie/568620
Seal Team,71,"Animation,Family,Comedy",10/28/2021,1h 38m,https://www.themoviedb.org/movie/823610
Ciao Alberto,75,"Animation,Comedy,Family,Fantasy",11/12/2021,7m,https://www.themoviedb.org/movie/876716
Exploits of a Young Don Juan,55,"Comedy,Drama",03/11/1987,1h 35m,https://www.themoviedb.org/movie/81774
Spider-Man: Far From Home,75,"Action,Adventure,Science Fiction",07/04/2019,2h 9m,https://www.themoviedb.org/movie/429617
The Unholy,68,Horror,04/02/2021,1h 39m,https://www.themoviedb.org/movie/632357
Riverdance: The Animated Adventure,51,"Animation,Fantasy,Music,Adventure,Comedy,Family",01/14/2022,1h 26m,https://www.themoviedb.org/movie/756403
The Addams Family 2,72,"Animation,Adventure,Comedy,Family",10/01/2021,1h 33m,https://www.themoviedb.org/movie/639721
Gone Mom: The Disappearance of Jennifer Dulos,78,"TV Movie,Thriller,Crime",11/24/2021,1h 28m,https://www.themoviedb.org/movie/831223
The Amazing Spider-Man 2,65,"Action,Adventure,Fantasy",05/02/2014,2h 22m,https://www.themoviedb.org/movie/102382
Son,60,"Horror,Thriller",08/06/2021,1h 38m,https://www.themoviedb.org/movie/754934
Amina,65,"War,History,Drama",11/04/2021,2h,https://www.themoviedb.org/movie/885110
Dragon Fury,62,"Horror,Fantasy,Mystery",06/15/2021,1h 28m,https://www.themoviedb.org/movie/839436
Ripper Untold,66,Horror,06/28/2021,1h 25m,https://www.themoviedb.org/movie/820511
Run & Gun,46,"Action,Thriller",01/11/2022,1h 36m,https://www.themoviedb.org/movie/910596
Old,66,"Thriller,Mystery,Horror",07/23/2021,1h 48m,https://www.themoviedb.org/movie/631843
Naruto Shippuden the Movie,72,"Animation,Action,Fantasy",08/04/2007,1h 34m,https://www.themoviedb.org/movie/20982
Crazy Fist,73,Action,05/06/2021,1h 37m,https://www.themoviedb.org/movie/859041
The Avengers,77,"Science Fiction,Action,Adventure",04/27/2012,2h 23m,https://www.themoviedb.org/movie/24428
After We Collided,73,"Romance,Drama",09/02/2020,1h 45m,https://www.themoviedb.org/movie/613504
Time Is Up,62,"Romance,Drama",09/09/2021,1h 48m,https://www.themoviedb.org/movie/763148
Love Tactics,66,"Romance,Comedy",02/11/2022,1h 37m,https://www.themoviedb.org/movie/927855
Dynasty Warriors,65,"Action,Adventure,Fantasy",04/27/2021,1h 58m,https://www.themoviedb.org/movie/525660
UFO,54,"Drama,Romance",02/23/2022,1h 49m,https://www.themoviedb.org/movie/933357
Hacksaw Ridge,82,"Drama,History,War",11/04/2016,2h 19m,https://www.themoviedb.org/movie/324786
The Deep House,65,Horror,06/30/2021,1h 25m,https://www.themoviedb.org/movie/672582
Ava,60,Drama,06/21/2017,1h 46m,https://www.themoviedb.org/movie/453354
Halloween Kills,68,"Horror,Thriller",10/15/2021,1h 45m,https://www.themoviedb.org/movie/610253
Doctor Strange,74,"Action,Adventure,Fantasy,Science Fiction",11/04/2016,1h 55m,https://www.themoviedb.org/movie/284052
Batman Begins,77,"Action,Crime,Drama",06/17/2005,2h 20m,https://www.themoviedb.org/movie/272
Don't Look Up,72,"Comedy,Drama,Science Fiction",12/08/2021,2h 18m,https://www.themoviedb.org/movie/646380
Surviving Paradise: A Family Tale,68,Documentary,03/03/2022,1h 18m,https://www.themoviedb.org/movie/936625
Dragon Ball Z: Resurrection 'F',68,"Action,Animation,Science Fiction",04/18/2015,1h 33m,https://www.themoviedb.org/movie/303857
The Last: Naruto the Movie,79,"Action,Romance,Animation",12/06/2014,1h 54m,https://www.themoviedb.org/movie/317442
Motherly,72,"Thriller,Horror",09/21/2021,1h 30m,https://www.themoviedb.org/movie/768447
Don't Breathe 2,74,"Thriller,Horror",09/17/2021,1h 38m,https://www.themoviedb.org/movie/482373
Harry Potter and the Chamber of Secrets,77,"Adventure,Fantasy",04/25/2003,2h 41m,https://www.themoviedb.org/movie/672
Spider-Man: Homecoming,74,"Action,Adventure,Science Fiction,Drama",07/07/2017,2h 13m,https://www.themoviedb.org/movie/315635
Gunpowder Milkshake,64,"Action,Crime,Thriller",07/14/2021,1h 54m,https://www.themoviedb.org/movie/574060
Wonder Woman 1984,66,"Action,Adventure,Fantasy",12/25/2020,2h 31m,https://www.themoviedb.org/movie/464052
Knowing,61,"Action,Mystery,Science Fiction,Thriller",03/20/2009,2h 1m,https://www.themoviedb.org/movie/13811
The Wolf of Wall Street,80,"Crime,Drama,Comedy",12/25/2013,3h,https://www.themoviedb.org/movie/106646
Monster Hunter,68,"Action,Fantasy,Adventure",12/18/2020,1h 44m,https://www.themoviedb.org/movie/458576
Ava,57,"Action,Crime,Drama,Thriller",09/25/2020,1h 36m,https://www.themoviedb.org/movie/539885
My Hero Academia: Heroes Rising,84,"Animation,Action,Fantasy,Adventure",12/20/2019,1h 44m,https://www.themoviedb.org/movie/592350
Demonic,48,"Horror,Thriller",08/20/2021,1h 44m,https://www.themoviedb.org/movie/774021
Boruto: Naruto the Movie,77,"Animation,Action,Comedy",08/07/2015,1h 35m,https://www.themoviedb.org/movie/347201
The Maze Runner,72,"Action,Mystery,Science Fiction,Thriller",09/18/2014,1h 53m,https://www.themoviedb.org/movie/198663
Tall Girl 2,60,"Comedy,Drama,Romance",02/11/2022,1h 37m,https://www.themoviedb.org/movie/772272
Black Water: Abyss,51,"Horror,Thriller,Adventure,Mystery",08/07/2020,1h 38m,https://www.themoviedb.org/movie/522444
Curious George: Cape Ahoy,35,"Animation,Adventure,Comedy",09/30/2021,1h 28m,https://www.themoviedb.org/movie/918832
Matando Cabos 2: La Máscara del Máscara,78,"Action,Comedy,Adventure",10/01/2021,1h 42m,https://www.themoviedb.org/movie/772436
Bigbug,54,"Science Fiction,Comedy",02/11/2022,1h 51m,https://www.themoviedb.org/movie/665828
Avengers: Endgame,83,"Adventure,Science Fiction,Action",04/26/2019,3h 1m,https://www.themoviedb.org/movie/299534
In Time,69,"Action,Thriller,Science Fiction",10/28/2011,1h 49m,https://www.themoviedb.org/movie/49530
Harry Potter and the Philosopher's Stone,79,"Adventure,Fantasy",04/12/2002,2h 32m,https://www.themoviedb.org/movie/671
Witch Hunt,72,"Fantasy,Horror,Thriller,Drama",10/01/2021,1h 32m,https://www.themoviedb.org/movie/670429
The Sky Is Everywhere,55,"Drama,Romance,Music",02/11/2022,1h 43m,https://www.themoviedb.org/movie/640265
After,72,"Romance,Drama",04/12/2019,1h 46m,https://www.themoviedb.org/movie/537915
Far From the Tree,81,"Animation,Family",11/24/2021,7m,https://www.themoviedb.org/movie/831827
Tom & Jerry,70,"Comedy,Family,Animation",02/26/2021,1h 41m,https://www.themoviedb.org/movie/587807
Love and Leashes,64,"Romance,Comedy",02/11/2022,1h 58m,https://www.themoviedb.org/movie/760517
Pirates of the Caribbean: On Stranger Tides,65,"Adventure,Action,Fantasy",05/20/2011,2h 17m,https://www.themoviedb.org/movie/1865
Fury,75,"War,Drama,Action",10/31/2014,2h 15m,https://www.themoviedb.org/movie/228150
The Vault,70,"Crime,Action,Thriller",03/26/2021,1h 58m,https://www.themoviedb.org/movie/630004
A Quiet Place Part II,76,"Science Fiction,Thriller,Horror",05/28/2021,1h 37m,https://www.themoviedb.org/movie/520763
Digimon Adventure: Last Evolution Kizuna,78,"Animation,Action,Thriller,Adventure,Fantasy",02/21/2020,1h 34m,https://www.themoviedb.org/movie/571265
The Forever Purge,73,"Horror,Action,Thriller",07/02/2021,1h 43m,https://www.themoviedb.org/movie/602223
Wild Indian,64,"Crime,Drama,Thriller",12/09/2021,1h 30m,https://www.themoviedb.org/movie/656991
The Harder They Fall,67,Western,10/22/2021,2h 19m,https://www.themoviedb.org/movie/618162
Coco,82,"Family,Animation,Fantasy,Music,Comedy,Adventure",11/24/2017,1h 45m,https://www.themoviedb.org/movie/354912
